city,2022_cost,2022_salary,2022_expenses_all_course,2023_cost,2023_salary,2023_expenses_all_course
Черкаси,1400,35,1188,1550,40,1828
Умань,1400,35,1205,1550,40,1854
Канів,1200,33,1063,1400,35,1635
Кропивницький,1400,35,1324,1550,40,2207
Світловодськ,1200,33,1696,1400,35,2570
Сміла,1200,33,1640,1400,35,2523
Корсунь-Шевченківський,1200,33,2493,1400,35,3561
Золотоноша,1200,33,1155,1400,35,1155
Звенигородка,1200,33,2557,1400,35,2557
Знаменка,1200,33,5114,1400,35,5114
