metric,U_stat,p_value,significant
Feedback_for_parents,33513.0,0.0,True
Feedback_to_students,32650.0,0.0,True
Control_of_homework,32459.0,0.0,True
Control_of_potential_loss,31926.5,0.0,True
Average_success,34139.5,0.0,True
