Metric,Value
ATE (logit),0.9052066165109361
Odds Ratio,2.471931923057472
p0 (без підняття таргетів),0.3695611368541315
p1 (з підняттям таргетів),0.5916764322485462
Absolute Decrease in Loss (%),22.211529539441464
Conclusion,"Запропоновано систему підняття таргетів по виконанню LKPI i BKPI, яка знижує відтік клієнтів у 2.47 рази (абсолютне збільшення ≈ 22.2%)."
